species,n_sheets_present
Helophorus griseus,1
Hetaerina auripennis,1
Heteragrion triangulare,1
Hieroglyphus nigrorepletus,1
Holhymenia tibialis,1
Hypoderma bovis,1
Incultus brockii,1
Jaminaea pallidilutea,1
Jorunna artsdatabankia,1
Lasiorhinus krefftii,1
Leiocephalus onaneyi,1
Leogorrus immaculatus,1
Lepeophtheirus parviventris,1
Lernanthropus polynemi,1
Limbodessus moni,1
Linevichella vortex,1
Liposcelis paeta,1
Longitarsus jacobaeae,1
Lordithon exoletus,1
Malassezia globosa,1
Marasmius crinis-equi,1
Megapenthes makiharai,1
Mesocyclops aspericornis,1
Metaleptobasis bicornis,1
Microhyla beilunensis,1
Microphorella chiragra,1
Microplana monacensis,1
Microtermes obesi,1
Mycetochara fraterna,1
Mycetochara humeralis,1
Mycetochara obscura,1
Mycetophila uninotata,1
Nabis capsiformis,1
Neacomys guianae,1
Nebris occidentalis,1
Neivamyrmex texanus,1
Nemopsis bachei,1
Neoplocaederus bicolor,1
Nesidiocoris tenuis,1
Neuroctenus hyalinipennis,1
Nisoniades macarius,1
Ochlerotatus cantator,1
Ochlerotatus wardi,1
Odontoglaja guamensis,1
Oecomys trinitatis,1
Oligosarcus macrolepis,1
Omolabus piceus,1
Opecarcinus lobifrons,1
Oreonectes polystigmus,1
Orthotylus submarginatus,1
Palonica tremulata,1
Paramaretia multituberculata,1
Paratranes monopticus,1
Penicillium aurantiogriseum,1
Penicillium hirayamae,1
Penthimia melanocephala,1
Periclimenes perryae,1
Peritrechus lundii,1
Polypedilum kasumiense,1
Polyphylla gracilicornis,1
Potamochoerus porcus,1
Prays parilis,1
Proechimys quadruplicatus,1
Protaetia aurichalcea,1
Pseudagrion hypermelas,1
Pseudagrion sublacteum,1
Pseudogagrella andoi,1
Pseudorbitacolax varunae,1
Pterygoplichthys multiradiatus,1
Ptycta incurvata,1
Ptycta polluta,1
Pyrgulopsis lata,1
Quadrastichus vacuna,1
Rhopalomyia fusiformae,1
Rhyparochromus vulgaris,1
Roseolithon tupii,1
Scolytus scolytus,1
Scomberomorus queenslandicus,1
Scopulariopsis brevicaulis,1
Scorpaenopsis venosa,1
Semiophonus signaticornis,1
Sialis kumejimae,1
Smithsonidrilus hummelincki,1
Sogatella vibix,1
Sporisorium reilianum,1
Stachybotrys echinatus,1
Stigmatoteuthis arcturi,1
Strongyloides mirzai,1
Symballophthalmus dissimilis,1
Tachinus quebecensis,1
Tanaocerus koebelei,1
Tatemelon musgum,1
Teinopodagrion venale,1
Telebasis gigantea,1
Tetanocera melanostigma,1
Tetra lobatae,1
Tetracha spixii,1
Tetrastichus leocrates,1
Thylogale stigmatica,1
Thysanina gracilis,1
Torneuma alexi,1
Trathala annulicornis,1
Trictenotoma boudanti,1
Tripteroides atripes,1
Tripteroides punctolateralis,1
Typhlodromus transvaalensis,1
Vijayachelys silvatica,1
Villasitocoris inconspicuus,1
Wormaldia tarasca,1
Zale galbanata,1
Zanclea gallii,1
